,START_LATITUDE,START_LONGITUDE
1,43.0215,-70.5658
2,43.4209,-70.2942
3,43.5055,-70.3494
4,43.3987,-70.2338
5,43.4058,-70.138
6,43.5177,-70.1136
7,43.6487,-70.0962
8,43.725,-69.9106
9,43.5986,-69.875
10,43.6476,-69.8064
11,43.7114,-69.7724
12,43.7935,-69.6454
13,43.742,-69.6499
14,43.5411,-69.6942
15,43.6245,-69.6013
16,43.8251,-69.4877
17,43.904,-69.456
18,43.7021,-69.2933
19,42.9354,-70.7462
20,43.8351,-69.1135
21,43.9265,-69.122
22,44.39937,-68.8781
23,44.1872,-68.8967
24,44.1306,-68.9756
25,43.8507,-68.9297
26,42.9555,-70.6667
27,43.9285,-68.8612
28,43.9258,-68.7467
29,43.8859,-68.7451
30,43.9039,-68.6356
31,44.1566,-68.544
32,44.0078,-68.5552
33,43.9073,-68.5372
34,44.0436,-68.3214
35,44.134,-68.2498
36,42.9528,-70.5948
37,44.2142,-68.4205
38,44.1185,-68.1016
39,44.2217,-68.075
40,44.3068,-68.1718
41,44.2889,-68.1292
42,44.3618,-68.1563
43,42.9808,-70.6519
44,44.1623,-67.9533
45,44.2915,-67.9933
46,44.2968,-67.8075
47,44.3341,-67.8553
48,44.3863,-67.9405
49,44.3799,-68.0242
50,44.2711,-67.6418
51,44.3,-67.6885
52,44.4185,-67.7505
53,44.4548,-67.7262
54,43.0692,-70.4196
55,44.4566,-67.6402
56,44.3866,-67.5442
57,44.4561,-67.382
58,44.5413,-67.5056
59,44.5834,-67.3111
60,44.6099,-67.2209
61,44.4596,-67.2063
62,44.6956,-67.0423
63,44.6968,-66.9431
64,43.1421,-70.3947
65,42.9337,-70.7499
66,42.9543,-70.4738
67,42.9383,-70.5113
68,43.3666,-70.1938
69,43.4205,-70.2323
70,43.5317,-70.2805
71,43.6681,-69.9757
72,43.519,-70.0311
73,42.879,-70.6959
74,43.4967,-70.2088
75,43.5904,-69.9334
76,43.6036,-69.9005
77,43.6133,-69.8571
78,43.6515,-69.8086
79,43.7095,-69.7206
80,43.7803,-69.6945
81,43.6705,-69.8552
82,43.6736,-69.872
83,43.6963,-69.7634
84,42.8728,-70.6595
